id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1335550,nice room in bedstuy J,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68243,-73.95167,Private room,55,1,75,2019-06-13,1.04,15,285
1336223,"Safe, Sunny, Quiet Chelsea Apt has Washer/Dryer",7245581,Michael,Manhattan,Chelsea,40.74913,-73.99575,Entire home/apt,93,39,25,2019-05-13,0.35,19,245
1336230,"Safe,Sunny,SouthFacing Apt Near All",7245581,Michael,Manhattan,Chelsea,40.75032,-73.99676,Entire home/apt,93,120,34,2019-05-16,0.47,19,316
1336390,"Charming, Quiet, & Clean 1BR APT",1673136,Erin,Manhattan,Chelsea,40.73981,-74.0016,Entire home/apt,199,3,35,2019-06-28,0.49,1,69
1336984,Chez Humphries,7236564,Heather,Brooklyn,Bedford-Stuyvesant,40.68608,-73.93478,Private room,70,2,6,2015-09-07,0.10,1,0
1337148,Sunny Top Floor Uptown Apartment,7251483,Marc,Manhattan,Inwood,40.86446,-73.92694,Entire home/apt,125,6,0,,,1,0
1338362,AMAZING 2BD COL CIRCLE/BRAND NEW ;),1475015,Mike,Manhattan,Upper West Side,40.76934,-73.9863,Entire home/apt,125,30,2,2018-10-13,0.04,52,282
1340982,Steps from Central Park,7273689,Olya,Manhattan,Upper East Side,40.77207,-73.95923,Entire home/apt,169,7,11,2019-01-05,0.20,1,24
1342507,Brooklyn duplex 10 mins to U Square,7281456,Fabiano,Brooklyn,Williamsburg,40.70816,-73.93931,Entire home/apt,150,2,24,2019-01-03,0.53,1,296
1342515,Furnished Room + Bath in Hamiliton Heights,7281500,Christian,Manhattan,Harlem,40.82343,-73.94507,Private room,61,1,86,2019-06-30,1.83,1,233
1343532,Room2 in a Good Vibe Apartment,3239771,Olivia,Brooklyn,Crown Heights,40.67275,-73.95144,Private room,40,7,14,2019-03-02,0.20,2,221
1346003,1 Bedroom Railroad in Williamsburg,5605755,Amith,Brooklyn,Williamsburg,40.71652,-73.94309,Entire home/apt,150,3,52,2019-04-22,0.72,1,342
1347126,Bedroom for 2 in 1896 townhouse,7308715,Brooke,Brooklyn,Fort Greene,40.69774,-73.97076,Private room,65,2,14,2019-05-31,0.20,1,275
1347175,NYC from River dale's Perspective,7309046,Bojana,Bronx,Kingsbridge,40.88166,-73.91103,Private room,90,3,0,,,1,353
1347204,Beautiful Central Harlem sleeps 4,7309232,London,Manhattan,Harlem,40.80861,-73.94574,Entire home/apt,190,3,123,2019-07-02,1.73,3,248
1347478,Bright Bohemian master bedroom in Williamsburg,7310886,Kristin,Brooklyn,Williamsburg,40.71101,-73.95164,Private room,79,2,11,2019-04-21,0.80,1,73
